Group,Clone,Copper,Layer,Day,Live_Juv,Live_Adult,Dead_Juv,Dead_Adult,,,,,,,,,,,,
A,1,0,post,1,5,5,0,0,,,,,,,,,,,,
F,2,0,rec,1,5,5,0,0,,,,,,,,,,,,
B,3,0,peak,1,5,5,0,0,,,,,,,,,,,,
F,4,0,peak,1,5,5,0,0,,,,,,,,,,,,
C,5,0,rec,1,5,5,0,0,,,,,,,,,,,,
B,6,0,rec,1,5,5,0,0,,,,,,,,,,,,
G,7,0,post,1,5,5,0,0,,,,,,,,,,,,
F,8,0,post,1,5,5,0,0,,,,,,,,,,,,
A,9,0,peak,1,5,5,0,0,,,,,,,,,,,,
E,10,0,post,1,5,5,0,0,,,,,,,,,,,,
G,11,0,rec,1,5,5,0,0,,,,,,,,,,,,
F,12,0,peak,1,5,5,0,0,,,,,,,,,,,,
G,13,0,rec,1,5,5,0,0,,,,,,,,,,,,
A,14,0,post,1,5,5,0,0,,,,,,,,,,,,
A,15,0,post,1,5,5,0,0,,,,,,,,,,,,
D,16,0,peak,1,5,5,0,0,,,,,,,,,,,,
G,17,0,rec,1,5,5,0,0,,,,,,,,,,,,
G,18,0,peak,1,5,5,0,0,,,,,,,,,,,,
A,1,50,post,1,5,5,0,0,,,,,,,,,,,,
F,2,50,rec,1,5,5,0,0,,,,,,,,,,,,
A,3,50,peak,1,5,5,0,0,,,,,,,,,,,,
B,4,50,peak,1,5,5,0,0,,,,,,,,,,,,
D,5,50,rec,1,5,5,0,0,,,,,,,,,,,,
C,6,50,rec,1,5,5,0,0,,,,,,,,,,,,
A,7,50,post,1,5,5,0,0,,,,,,,,,,,,
B,8,50,post,1,5,5,0,0,,,,,,,,,,,,
A,9,50,peak,1,5,5,0,0,,,,,,,,,,,,
A,10,50,post,1,5,5,0,0,,,,,,,,,,,,
D,11,50,rec,1,5,5,0,0,,,,,,,,,,,,
C,12,50,peak,1,5,5,0,0,,,,,,,,,,,,
B,13,50,rec,1,5,5,0,0,,,,,,,,,,,,
D,14,50,post,1,5,5,0,0,,,,,,,,,,,,
E,15,50,post,1,5,5,0,0,,,,,,,,,,,,
B,16,50,peak,1,5,5,0,0,,,,,,,,,,,,
D,17,50,rec,1,5,5,0,0,,,,,,,,,,,,
E,18,50,peak,1,5,5,0,0,,,,,,,,,,,,
E,1,100,post,1,5,5,0,0,,,,,,,,,,,,
D,2,100,rec,1,5,5,0,0,,,,,,,,,,,,
A,3,100,peak,1,5,5,0,0,,,,,,,,,,,,
F,4,100,peak,1,5,5,0,0,,,,,,,,,,,,
A,5,100,rec,1,5,5,0,0,,,,,,,,,,,,
E,6,100,rec,1,5,5,0,0,,,,,,,,,,,,
A,7,100,post,1,5,5,0,0,,,,,,,,,,,,
E,8,100,post,1,5,5,0,0,,,,,,,,,,,,
G,9,100,peak,1,5,5,0,0,,,,,,,,,,,,
C,10,100,post,1,5,5,0,0,,,,,,,,,,,,
B,11,100,rec,1,5,5,0,0,,,,,,,,,,,,
E,12,100,peak,1,5,5,0,0,,,,,,,,,,,,
C,13,100,rec,1,5,5,0,0,,,,,,,,,,,,
G,14,100,post,1,5,5,0,0,,,,,,,,,,,,
C,15,100,post,1,5,5,0,0,,,,,,,,,,,,
D,16,100,peak,1,5,5,0,0,,,,,,,,,,,,
F,17,1000,rec,1,5,5,0,0,,,,,,,,,,,,
C,18,100,peak,1,5,5,0,0,,,,,,,,,,,,
A,1,0,post,2,9,11,0,0,,,,,,,,,,,,
F,2,0,rec,2,8,7,0,0,,,,,,,,,,,,
B,3,0,peak,2,8,10,0,0,,,,,,,,,,,,
F,4,0,peak,2,6,11,1,0,,,,,,,,,,,,
C,5,0,rec,2,10,5,0,1,,,,,,,,,,,,
B,6,0,rec,2,5,8,0,0,,,,,,,,,,,,
G,7,0,post,2,3,6,0,2,,,,,,,,,,,,
F,8,0,post,2,8,6,0,0,,,,,,,,,,,,
A,9,0,peak,2,8,6,0,0,,,,,,,,,,,,
E,10,0,post,2,6,7,0,1,,,,,,,,,,,,
