Group ID,Population,Species,Copper,Replicate,Day,Alive_Juv,Alive_Adult,Dead_Juv,Dead_Adult,Comments
A,Commercial,BC,low,1,1,3,3,0,0,
A,Postpollution,BC,low,6,1,3,3,0,0,no eggs
A,Recovery,BU,low,1,1,3,3,0,0,no eggs
A,Pollution,BU,low,2,1,3,3,0,0,
A,Commercial,BC,medium,6,1,3,3,0,0,
A,Postpollution,BC,medium,2,1,3,3,0,0,2 no eggs
A,Postpollution,BC,medium,4,1,3,3,0,0,1 no egg
A,Recovery,BU,medium,4,1,3,3,0,0, no eggs
A,Recovery,BU,high,4,1,3,3,0,0,no eggs
A,Pollution,BU,high,3,1,3,3,0,0,no eggs
A,Commercial,BC,high,4,1,3,3,0,0,
A,Postpollution,BC,high,2,1,3,3,0,0,no eggs
B,Pollution,BU,low,1,1,3,3,0,0,3 with eggs
B,Pollution,BU,medium,1,1,3,3,0,0,3 eggs
B,Pollution,BU,medium,6,1,3,3,0,0,1 egg
B,Recovery,BU,medium,2,1,3,3,0,0,1egg
B,Postpollution,BC,low,2,1,3,3,0,0,no eggs
B,Recovery,BU,low,2,1,3,3,0,0,1 egg
B,Pollution,BU,low,3,1,3,3,0,0,no eggs
B,Postpollution,BC,high,3,1,3,3,0,0,3 eggs
B,Postpollution,BC,high,4,1,3,3,0,0,1 egg
B,Recovery,BU,high,6,1,3,3,0,0,1 egg
B,Commercial,BC,high,3,1,3,3,0,0,3 eggs
B,Pollution,BU,high,2,1,3,3,0,0,1 egg
C,Recovery,BU,low,3,1,3,3,0,0,
C,Recovery,BU,low,5,1,3,3,0,0,
C,Postpollution,BC,low,3,1,3,3,0,0,
C,Pollution,BU,low,6,1,3,3,0,0,
C,Commercial,BC,low,4,1,3,3,0,0,
C,Commercial,BC,low,3,1,3,3,0,0,
C,Recovery,BU,medium,3,1,3,3,0,0,
C,Recovery,BU,medium,5,1,3,3,0,0,
C,Commercial,BC,medium,1,1,3,3,0,0,
C,Recovery,BU,high,5,1,3,3,0,0,
C,Postpollution,BC,high,6,1,3,2,0,0,
C,Commercial,BC,high,5,1,3,3,0,0,
D,Recovery,BU,low,6,1,3,3,0,0,2 no eggs
D,Postpollution,BC,low,5,1,3,3,0,0,3 no eggs
D,Pollution,BU,low,4,1,3,3,0,0,
D,Recovery,BU,low,4,1,3,3,0,0,2 no eggs
D,Pollution,BU,medium,5,1,3,3,0,0,
D,Commercial,BC,medium,3,1,3,3,0,0,
D,Postpollution,BC,medium,3,1,3,3,0,0,3 no eggs
D,Recovery,BU,medium,6,1,3,3,0,0,1 no eggs
D,Pollution,BU,high,6,1,3,3,0,0,1 no eggs
D,Commercial,BC,high,2,1,3,3,0,0,
D,Recovery,BU,high,2,1,3,3,0,0,
D,Postpollution,BC,high,1,1,3,3,0,0,3 no eggs
E,Pollution,BU,low,5,1,3,3,0,0,
E,Commercial,BC,low,5,1,3,3,0,0,
E,Commercial,BC,low,6,1,3,3,0,0,
E,Commercial,BC,low,2,1,3,3,0,0,
E,Postpollution,BC,low,1,1,3,3,0,0,
E,Commercial,BC,medium,5,1,3,3,0,0,
E,Postpollution,BC,medium,5,1,4,2,0,0,
E,Pollution,BU,medium,3,1,3,3,0,0,
E,Pollution,BU,medium,4,1,6,0,0,0,
E,Pollution,BU,medium,2,1,3,3,0,0,
E,Recovery,BU,high,3,1,4,2,0,0,
E,Commercial,BC,high,1,1,3,3,0,0,
F,Postpollution,BC,low,4,1,3,3,0,0,
F,Pollution,BU,high,1,1,3,3,0,0,
F,Pollution,BU,high,4,1,3,3,0,0,
F,Pollution,BU,high,5,1,3,3,0,0,
F,Recovery,BU,high,1,1,3,3,0,0,
F,Postpollution,BC,high,5,1,3,3,0,0,
F,Commercial,BC,high,6,1,3,3,0,0,
F,Commercial,BC,medium,2,1,3,3,0,0,
F,Commercial,BC,medium,4,1,3,3,0,0,
F,Postpollution,BC,medium,6,1,0,6,0,0,Could also have been 6 juveniles. 6 of the same size.
F,Postpollution,BC,medium,1,1,3,3,0,0,
F,Recovery,BU,medium,1,1,0,6,0,0,
A,Commercial,BC,low,1,2,6,7,0,2,
A,Postpollution,BC,low,6,2,0,2,0,4,
A,Recovery,BU,low,1,2,2,6,0,0,
A,Pollution,BU,low,2,2,1,5,0,0,
A,Commercial,BC,medium,6,2,5,8,0,0,
A,Postpollution,BC,medium,2,2,1,3,0,2,
A,Postpollution,BC,medium,4,2,3,4,1,1,
A,Recovery,BU,medium,4,2,0,4,0,2,
A,Recovery,BU,high,4,2,5,3,0,1,
A,Pollution,BU,high,3,2,1,3,0,2,
A,Commercial,BC,high,4,2,5,7,0,4,
A,Postpollution,BC,high,2,2,1,2,0,1,
B,Pollution,BU,low,1,2,5,4,0,0,
B,Pollution,BU,medium,1,2,2,4,0,0,
B,Pollution,BU,medium,6,2,0,6,0,0,
B,Recovery,BU,medium,2,2,1,2,2,1,
B,Postpollution,BC,low,2,2,1,2,0,1,
B,Recovery,BU,low,2,2,3,4,1,0,
B,Pollution,BU,low,3,2,1,6,0,0,
B,Postpollution,BC,high,3,2,1,5,0,0,
B,Postpollution,BC,high,4,2,0,2,2,0,
B,Recovery,BU,high,6,2,2,4,0,0,
B,Commercial,BC,high,3,2,1,8,2,0,
B,Pollution,BU,high,2,2,2,6,0,0,
C,Recovery,BU,low,3,2,3,4,0,0,3 eggs
C,Recovery,BU,low,5,2,1,4,0,1,2 eggs
C,Postpollution,BC,low,3,2,1,6,0,1,2 eggs
C,Pollution,BU,low,6,2,1,6,0,1,3 eggs
C,Commercial,BC,low,4,2,5,6,0,1,5 eggs
C,Commercial,BC,low,3,2,4,4,0,0,3 eggs
C,Recovery,BU,medium,3,2,0,7,0,0,5 eggs
C,Recovery,BU,medium,5,2,1,5,0,1,no eggs
C,Commercial,BC,medium,1,2,1,6,1,0,5 eggs
C,Recovery,BU,high,5,2,1,5,0,1,no eggs
C,Postpollution,BC,high,6,2,1,2,1,1,no eggs
C,Commercial,BC,high,5,2,7,6,0,0,5 eggs
D,Recovery,BU,low,6,2,2,3,1,0,
D,Postpollution,BC,low,5,2,0,0,3,3,all dead
D,Pollution,BU,low,4,2,2,7,0,0,7 with eggs
D,Recovery,BU,low,4,2,3,3,0,0,
D,Pollution,BU,medium,5,2,6,8,0,0,
D,Commercial,BC,medium,3,2,6,4,0,2,
D,Postpollution,BC,medium,3,2,2,2,3,1,
D,Recovery,BU,medium,6,2,2,3,0,1,
D,Pollution,BU,high,6,2,3,2,0,2,
D,Commercial,BC,high,2,2,4,7,0,0,
D,Recovery,BU,high,2,2,3,3,0,0,
D,Postpollution,BC,high,1,2,2,2,1,1,
E,Pollution,BU,low,5,2,1,0,3,3,withou egggs
E,Commercial,BC,low,5,2,8,4,2,0,
E,Commercial,BC,low,6,2,10,4,0,0,
E,Commercial,BC,low,2,2,5,4,0,0,
E,Postpollution,BC,low,1,2,1,4,1,0,without eggs
E,Commercial,BC,medium,5,2,7,4,0,0,
E,Postpollution,BC,medium,5,2,1,4,1,1,without eggs
E,Pollution,BU,medium,3,2,2,4,0,0,2 without eggs
E,Pollution,BU,medium,4,2,2,5,0,0,six of same size
E,Pollution,BU,medium,2,2,4,3,6,0,
